STATION;NAME;DATE;CLDD;HTDD;PRCP;TAVG;TMAX;TMIN
FR000007510;BORDEAUX MERIGNAC, FR;1998-09;40.3;23.1;183.4;18.9;23.4;14.4
FR000007510;BORDEAUX MERIGNAC, FR;1998-10;0.0;131.9;115.2;14.1;18.4;9.8
FR000007510;BORDEAUX MERIGNAC, FR;1998-11;0.0;307.3;110.2;8.1;12.5;3.6
FR000007510;BORDEAUX MERIGNAC, FR;1998-12;0.0;340.6;59.4;6.8;10.5;3.0
FR000007510;BORDEAUX MERIGNAC, FR;1999-01;0.0;322.4;69.2;7.9;11.9;4.0
FR000007510;BORDEAUX MERIGNAC, FR;1999-02;0.0;314.1;92.2;7.1;10.3;3.9
FR000007510;BORDEAUX MERIGNAC, FR;1999-03;0.0;226.2;56.2;11.0;16.2;5.9
FR000007510;BORDEAUX MERIGNAC, FR;1999-04;0.0;163.5;96.2;12.9;17.4;8.4
FR000007510;BORDEAUX MERIGNAC, FR;1999-05;38.9;38.9;89.4;18.3;23.2;13.5
FR000007510;BORDEAUX MERIGNAC, FR;1999-06;42.9;28.6;65.8;18.8;23.7;13.9
FR000007510;BORDEAUX MERIGNAC, FR;1999-07;122.6;0.0;62.6;22.3;27.9;16.6
FR000007510;BORDEAUX MERIGNAC, FR;1999-08;111.0;0.0;84.8;21.9;27.3;16.5
FR000007510;BORDEAUX MERIGNAC, FR;1999-09;56.9;8.1;168.6;20.1;25.8;14.4
FR000007510;BORDEAUX MERIGNAC, FR;1999-10;1.4;101.2;95.8;15.1;19.6;10.7
FR000007510;BORDEAUX MERIGNAC, FR;1999-11;0.0;305.8;58.4;8.1;12.1;4.2
FR000007510;BORDEAUX MERIGNAC, FR;1999-12;0.0;297.1;160.6;8.0;12.0;4.0
FR000007510;BORDEAUX MERIGNAC, FR;2000-01;0.0;393.7;16.6;5.6;9.2;2.1
FR000007510;BORDEAUX MERIGNAC, FR;2000-02;0.0;255.9;104.0;9.5;13.6;5.4
FR000007510;BORDEAUX MERIGNAC, FR;2000-03;0.0;257.9;52.4;10.0;15.5;4.5
FR000007510;BORDEAUX MERIGNAC, FR;2000-04;0.7;172.6;153.6;12.6;16.8;8.4
FR000007510;BORDEAUX MERIGNAC, FR;2000-05;17.5;40.7;99.0;17.6;22.5;12.6
FR000007510;BORDEAUX MERIGNAC, FR;2000-06;72.2;22.6;55.2;20.0;25.1;14.8
FR000007510;BORDEAUX MERIGNAC, FR;2000-07;69.2;12.4;59.0;20.2;25.2;15.2
FR000007510;BORDEAUX MERIGNAC, FR;2000-08;126.5;0.0;26.0;22.4;28.5;16.3
FR000007510;BORDEAUX MERIGNAC, FR;2000-09;53.0;19.5;43.0;19.4;25.0;13.9
FR000007510;BORDEAUX MERIGNAC, FR;2000-10;0.0;116.1;159.0;14.6;18.2;11.0
FR000007510;BORDEAUX MERIGNAC, FR;2000-11;0.0;218.8;322.2;10.5;13.5;7.5
FR000007510;BORDEAUX MERIGNAC, FR;2000-12;0.0;251.3;118.6;10.2;13.4;7.0
FR000007510;BORDEAUX MERIGNAC, FR;2001-01;0.0;263.5;134.4;8.5;11.7;5.4
FR000007510;BORDEAUX MERIGNAC, FR;2001-02;0.0;290.8;57.6;7.9;11.9;4.0
FR000007510;BORDEAUX MERIGNAC, FR;2001-03;0.0;184.9;133.8;12.4;15.9;8.8
FR000007510;BORDEAUX MERIGNAC, FR;2001-04;0.0;207.3;94.2;11.4;15.4;7.5
FR000007510;BORDEAUX MERIGNAC, FR;2001-05;30.6;81.6;19.8;16.7;22.0;11.4
FR000007510;BORDEAUX MERIGNAC, FR;2001-06;49.6;10.9;29.8;19.6;25.2;14.1
FR000007510;BORDEAUX MERIGNAC, FR;2001-07;82.6;7.0;75.4;20.8;25.7;15.8
FR000007510;BORDEAUX MERIGNAC, FR;2001-08;132.5;1.1;39.4;22.6;28.0;17.1
FR000007510;BORDEAUX MERIGNAC, FR;2001-09;4.4;48.1;51.4;16.8;22.1;11.4
FR000007510;BORDEAUX MERIGNAC, FR;2001-10;17.2;41.3;82.2;17.6;22.4;12.7
FR000007510;BORDEAUX MERIGNAC, FR;2001-11;0.0;295.7;47.0;7.8;11.6;4.0
FR000007510;BORDEAUX MERIGNAC, FR;2001-12;0.0;412.9;43.0;4.2;8.1;0.4
FR000007510;BORDEAUX MERIGNAC, FR;2002-01;0.0;307.8;21.6;8.4;12.6;4.2
FR000007510;BORDEAUX MERIGNAC, FR;2002-02;0.0;242.9;54.0;9.7;13.3;6.0
FR000007510;BORDEAUX MERIGNAC, FR;2002-03;0.0;209.1;28.8;11.6;16.2;7.0
FR000007510;BORDEAUX MERIGNAC, FR;2002-04;1.3;167.3;40.0;12.8;18.0;7.6
FR000007510;BORDEAUX MERIGNAC, FR;2002-05;12.5;106.8;92.6;15.3;20.3;10.3
FR000007510;BORDEAUX MERIGNAC, FR;2002-06;72.9;31.3;31.0;19.7;24.7;14.7
FR000007510;BORDEAUX MERIGNAC, FR;2002-07;66.3;15.8;29.2;20.0;25.1;14.9
FR000007510;BORDEAUX MERIGNAC, FR;2002-08;58.1;9.3;79.0;19.9;24.6;15.3
FR000007510;BORDEAUX MERIGNAC, FR;2002-09;29.0;37.0;64.4;18.1;23.5;12.6
FR000007510;BORDEAUX MERIGNAC, FR;2002-10;5.1;89.2;74.4;15.6;19.6;11.7
FR000007510;BORDEAUX MERIGNAC, FR;2002-11;0.0;202.4;116.8;11.6;15.1;8.1
FR000007510;BORDEAUX MERIGNAC, FR;2002-12;0.0;209.2;90.6;10.4;13.4;7.4
FR000007510;BORDEAUX MERIGNAC, FR;2003-01;0.0;400.4;92.8;5.4;8.4;2.5
FR000007510;BORDEAUX MERIGNAC, FR;2003-02;0.0;308.6;56.6;6.3;10.6;2.0
FR000007510;BORDEAUX MERIGNAC, FR;2003-03;0.0;174.6;29.4;12.7;18.4;6.9
FR000007510;BORDEAUX MERIGNAC, FR;2003-04;4.7;123.1;26.0;14.4;19.9;8.9
FR000007510;BORDEAUX MERIGNAC, FR;2003-05;24.2;87.8;39.6;16.3;21.5;11.1
FR000007510;BORDEAUX MERIGNAC, FR;2003-06;143.8;0.0;40.8;23.1;28.7;17.5
FR000007510;BORDEAUX MERIGNAC, FR;2003-07;120.4;1.0;88.4;22.2;27.8;16.6
FR000007510;BORDEAUX MERIGNAC, FR;2003-08;231.5;0.9;36.0;25.8;32.1;19.4
FR000007510;BORDEAUX MERIGNAC, FR;2003-09;43.0;13.8;32.0;19.3;24.9;13.7
FR000007510;BORDEAUX MERIGNAC, FR;2003-10;5.3;160.4;155.4;13.3;17.3;9.4
FR000007510;BORDEAUX MERIGNAC, FR;2003-11;0.0;205.0;70.4;11.3;15.0;7.6
FR000007510;BORDEAUX MERIGNAC, FR;2003-12;0.0;307.7;68.0;8.1;11.6;4.6
FR000007510;BORDEAUX MERIGNAC, FR;2004-01;0.0;295.2;135.6;7.5;10.9;4.1
FR000007510;BORDEAUX MERIGNAC, FR;2004-02;0.0;297.1;19.6;7.4;12.2;2.5
FR000007510;BORDEAUX MERIGNAC, FR;2004-03;0.0;295.6;37.6;8.8;13.4;4.1
FR000007510;BORDEAUX MERIGNAC, FR;2004-04;0.0;194.8;65.4;11.8;16.4;7.3
FR000007510;BORDEAUX MERIGNAC, FR;2004-05;22.0;95.2;72.6;16.0;21.2;10.8
FR000007510;BORDEAUX MERIGNAC, FR;2004-06;83.7;7.8;10.6;20.9;26.6;15.1
FR000007510;BORDEAUX MERIGNAC, FR;2004-07;83.4;10.9;54.4;20.7;25.8;15.5
FR000007510;BORDEAUX MERIGNAC, FR;2004-08;102.7;2.4;70.8;21.6;26.6;16.6
FR000007510;BORDEAUX MERIGNAC, FR;2004-09;63.0;35.4;51.0;19.3;24.3;14.3
FR000007510;BORDEAUX MERIGNAC, FR;2004-10;16.4;83.0;96.6;16.2;20.3;12.0
FR000007510;BORDEAUX MERIGNAC, FR;2004-11;0.0;286.5;11.2;8.8;12.4;5.1
FR000007510;BORDEAUX MERIGNAC, FR;2004-12;0.0;350.9;68.0;6.3;9.6;3.0
FR000007510;BORDEAUX MERIGNAC, FR;2005-01;0.0;355.6;32.2;6.9;10.2;3.5
FR000007510;BORDEAUX MERIGNAC, FR;2005-02;0.0;379.4;38.4;4.8;8.3;1.2
FR000007510;BORDEAUX MERIGNAC, FR;2005-03;0.0;264.2;38.2;9.8;15.1;4.5
FR000007510;BORDEAUX MERIGNAC, FR;2005-04;6.3;163.2;90.4;13.1;17.8;8.4
FR000007510;BORDEAUX MERIGNAC, FR;2005-05;23.6;62.2;16.2;17.1;22.7;11.4
FR000007510;BORDEAUX MERIGNAC, FR;2005-06;115.0;4.2;32.2;22.0;28.1;16.0
FR000007510;BORDEAUX MERIGNAC, FR;2005-07;122.5;0.3;20.0;22.3;27.7;16.9
FR000007510;BORDEAUX MERIGNAC, FR;2005-08;90.9;2.8;14.4;21.2;27.3;15.1
FR000007510;BORDEAUX MERIGNAC, FR;2005-09;41.2;34.7;56.2;18.6;24.1;13.0
FR000007510;BORDEAUX MERIGNAC, FR;2005-10;10.4;50.1;55.2;17.1;21.5;12.6
FR000007510;BORDEAUX MERIGNAC, FR;2005-11;0.7;294.1;90.0;8.6;12.7;4.4
FR000007510;BORDEAUX MERIGNAC, FR;2005-12;0.0;438.7;112.4;4.2;7.1;1.2
FR000007510;BORDEAUX MERIGNAC, FR;2006-01;0.0;392.9;48.8;5.7;8.8;2.6
FR000007510;BORDEAUX MERIGNAC, FR;2006-02;0.0;365.3;99.8;5.3;9.0;1.5
FR000007510;BORDEAUX MERIGNAC, FR;2006-03;0.0;232.4;185.0;10.8;14.9;6.7
FR000007510;BORDEAUX MERIGNAC, FR;2006-04;0.0;169.9;27.2;12.7;17.8;7.6
FR000007510;BORDEAUX MERIGNAC, FR;2006-05;23.2;75.3;47.2;16.6;21.9;11.4
FR000007510;BORDEAUX MERIGNAC, FR;2006-06;100.8;9.9;24.6;21.4;27.2;15.5
FR000007510;BORDEAUX MERIGNAC, FR;2006-07;212.7;0.0;45.6;25.2;31.2;19.2
FR000007510;BORDEAUX MERIGNAC, FR;2006-08;50.4;4.1;72.2;19.8;24.8;14.8
FR000007510;BORDEAUX MERIGNAC, FR;2006-09;88.6;6.2;98.4;21.2;26.6;15.9
FR000007510;BORDEAUX MERIGNAC, FR;2006-10;15.2;29.6;54.7;17.9;22.1;13.6
FR000007510;BORDEAUX MERIGNAC, FR;2006-11;0.0;177.7;68.4;12.4;16.6;8.2
FR000007510;BORDEAUX MERIGNAC, FR;2006-12;0.0;395.7;49.4;5.6;8.8;2.4
FR000007510;BORDEAUX MERIGNAC, FR;2007-01;0.0;310.8;81.6;8.3;10.9;5.7
FR000007510;BORDEAUX MERIGNAC, FR;2007-02;0.0;227.8;139.4;10.2;13.6;6.8
FR000007510;BORDEAUX MERIGNAC, FR;2007-03;0.6;258.3;93.2;10.0;14.3;5.7
FR000007510;BORDEAUX MERIGNAC, FR;2007-04;7.5;78.1;35.4;16.0;21.7;10.2
FR000007510;BORDEAUX MERIGNAC, FR;2007-05;20.3;74.5;141.8;16.6;20.4;12.8
FR000007510;BORDEAUX MERIGNAC, FR;2007-06;50.7;18.1;57.4;19.4;24.2;14.6
FR000007510;BORDEAUX MERIGNAC, FR;2007-07;52.5;8.8;53.6;19.7;24.6;14.8
FR000007510;BORDEAUX MERIGNAC, FR;2007-08;60.4;11.8;83.8;20.2;25.7;14.7
FR000007510;BORDEAUX MERIGNAC, FR;2007-09;16.7;46.9;36.8;17.3;23.1;11.5
FR000007510;BORDEAUX MERIGNAC, FR;2007-10;13.4;144.7;48.2;14.1;19.0;9.2
FR000007510;BORDEAUX MERIGNAC, FR;2007-11;0.0;311.3;34.6;8.0;12.4;3.5
FR000007510;BORDEAUX MERIGNAC, FR;2007-12;0.0;372.8;75.2;6.3;9.8;2.8
FR000007510;BORDEAUX MERIGNAC, FR;2008-01;0.0;311.7;108.2;8.3;12.1;4.4
FR000007510;BORDEAUX MERIGNAC, FR;2008-02;0.0;231.4;31.2;10.4;15.4;5.3
FR000007510;BORDEAUX MERIGNAC, FR;2008-03;0.0;265.8;102.0;9.8;13.2;6.3
FR000007510;BORDEAUX MERIGNAC, FR;2008-04;0.6;183.1;77.4;12.3;17.0;7.5
FR000007510;BORDEAUX MERIGNAC, FR;2008-05;9.0;47.1;151.2;17.1;22.1;12.1
FR000007510;BORDEAUX MERIGNAC, FR;2008-06;44.4;25.6;78.8;19.0;23.8;14.1
FR000007510;BORDEAUX MERIGNAC, FR;2008-07;75.0;3.8;20.2;20.6;26.1;15.1
FR000007510;BORDEAUX MERIGNAC, FR;2008-08;73.5;6.5;82.6;20.5;25.8;15.1
FR000007510;BORDEAUX MERIGNAC, FR;2008-09;18.8;60.3;65.6;16.9;22.2;11.7
FR000007510;BORDEAUX MERIGNAC, FR;2008-10;4.8;149.9;90.2;13.6;18.4;8.9
FR000007510;BORDEAUX MERIGNAC, FR;2008-11;0.0;265.5;130.9;9.5;12.4;6.6
