"STATION","NAME","DATE","DX32","DX70","DX90","FZF2","PRCP","TAVG","TMAX","TMIN"
"FR000007510","BORDEAUX MERIGNAC, FR","1980","0","98","2","21","36.06","54.0","62.2","45.8"
"FR000007510","BORDEAUX MERIGNAC, FR","1981","0","123","6",,"38.97","55.8","64.2","47.4"
"FR000007510","BORDEAUX MERIGNAC, FR","1982","0","127","3",,"45.89","56.4","64.8","48.1"
"FR000007510","BORDEAUX MERIGNAC, FR","1983","0","134","8","23","34.12","56.1","64.6","47.6"
"FR000007510","BORDEAUX MERIGNAC, FR","1984","0","114","6",,"46.99","54.7","63.2","46.3"
"FR000007510","BORDEAUX MERIGNAC, FR","1985","12","136","6","19","32.49","54.0","63.1","44.9"
"FR000007510","BORDEAUX MERIGNAC, FR","1986","1","124","6",,"37.57","54.6","63.2","45.9"
"FR000007510","BORDEAUX MERIGNAC, FR","1987","8","125","14",,"31.04","55.2","63.4","47.0"
"FR000007510","BORDEAUX MERIGNAC, FR","1988","0","128","5","20","37.13","56.5","64.7","48.3"
"FR000007510","BORDEAUX MERIGNAC, FR","1989","0","165","11",,"26.30","58.0","67.8","48.1"
"FR000007510","BORDEAUX MERIGNAC, FR","1990","0","154","18","22","35.67","58.1","66.9","49.2"
"FR000007510","BORDEAUX MERIGNAC, FR","1991","2","120","12",,"38.51","55.9","64.1","47.8"
"FR000007510","BORDEAUX MERIGNAC, FR","1992","0","119","8",,"48.45","56.1","64.0","48.2"
"FR000007510","BORDEAUX MERIGNAC, FR","1993","1","118","6","22","42.88","55.9","64.4","47.4"
"FR000007510","BORDEAUX MERIGNAC, FR","1994","0","137","8",,"45.51","58.2","66.1","50.2"
"FR000007510","BORDEAUX MERIGNAC, FR","1995","0","141","15",,"41.26","58.0","66.7","49.2"
"FR000007510","BORDEAUX MERIGNAC, FR","1996","2","132","13","21","43.54","56.5","65.2","47.8"
"FR000007510","BORDEAUX MERIGNAC, FR","1997","1","162","11",,"43.56","58.8","67.8","49.7"
"FR000007510","BORDEAUX MERIGNAC, FR","1998","0","144","12","23","39.82","57.1","66.0","48.2"
"FR000007510","BORDEAUX MERIGNAC, FR","1999","0","150","9",,"43.30","57.8","66.1","49.4"
"FR000007510","BORDEAUX MERIGNAC, FR","2000","1","132","13",,"47.58","57.9","66.0","49.8"
"FR000007510","BORDEAUX MERIGNAC, FR","2001","3","148","16","18","31.81","56.9","65.0","48.9"
"FR000007510","BORDEAUX MERIGNAC, FR","2002","0","124","6",,"28.44","58.0","65.9","50.0"
"FR000007510","BORDEAUX MERIGNAC, FR","2003","1","159","25",,"28.95","58.7","67.4","50.0"
"FR000007510","BORDEAUX MERIGNAC, FR","2004","0","143","9",,"27.30","56.8","65.0","48.5"
"FR000007510","BORDEAUX MERIGNAC, FR","2005","2","161","15","22","23.46","56.8","65.4","48.2"
"FR000007510","BORDEAUX MERIGNAC, FR","2006","5","163","22","23","32.33","58.2","66.5","49.9"
"FR000007510","BORDEAUX MERIGNAC, FR","2007","2","138","5","21","34.69","56.9","65.0","48.8"
"FR000007510","BORDEAUX MERIGNAC, FR","2008","0","127","5",,"39.85","56.6","64.6","48.5"
"FR000007510","BORDEAUX MERIGNAC, FR","2009","3","155","14","20","35.86","57.6","66.2","48.9"
"FR000007510","BORDEAUX MERIGNAC, FR","2010","2","144","8","23","31.97","55.7","64.3","47.0"
"FR000007510","BORDEAUX MERIGNAC, FR","2011","1","166","5",,"23.13","59.0","67.9","50.1"
"FR000007510","BORDEAUX MERIGNAC, FR","2012","3","144","15",,"33.33","56.9","65.4","48.5"
"FR000007510","BORDEAUX MERIGNAC, FR","2013","0","125","12",,"41.35","56.5","64.5","48.6"
"FR000007510","BORDEAUX MERIGNAC, FR","2014","0","162","1",,"39.59","58.9","67.1","50.8"
"FR000007510","BORDEAUX MERIGNAC, FR","2015","0","150","18",,"23.38","58.3","67.1","49.6"
"FR000007510","BORDEAUX MERIGNAC, FR","2016","0","134","15",,"36.31","57.9","66.2","49.5"
"FR000007510","BORDEAUX MERIGNAC, FR","2017","0","154","17","22","29.97","58.0","66.8","49.1"
"FR000007510","BORDEAUX MERIGNAC, FR","2018",,,,,"30.78",,,
"FR000007510","BORDEAUX MERIGNAC, FR","2019",,,,,"37.51",,,
"FRE00104072","DIJON LONGVIC, FR","1980","12","75","0","23","25.15","50.0","57.3","42.8"
"FRE00104072","DIJON LONGVIC, FR","1981","4","91","0","24","39.46","51.2","58.3","44.1"
"FRE00104072","DIJON LONGVIC, FR","1982","2","106","4","23","33.99","52.1","59.6","44.7"
"FRE00104072","DIJON LONGVIC, FR","1983","8","111","10","22","30.49","51.4","59.3","43.6"
"FRE00104072","DIJON LONGVIC, FR","1984","2","80","3","24","28.38","50.0","57.7","42.3"
"FRE00104072","DIJON LONGVIC, FR","1985","24","105","3","24","19.91","49.1","57.8","40.4"
"FRE00104072","DIJON LONGVIC, FR","1986","26","99","1","23","35.17","49.4","57.1","41.7"
"FRE00104072","DIJON LONGVIC, FR","1987","24","96","0","23","32.80","49.7","56.9","42.4"
"FRE00104072","DIJON LONGVIC, FR","1988","1","101","2","21","33.37","52.0","59.7","44.2"
"FRE00104072","DIJON LONGVIC, FR","1989","16","117","2","24","26.54","51.6","60.1","43.2"
"FRE00104072","DIJON LONGVIC, FR","1990","15","112","9","20","27.62","52.3","60.9","43.7"
