,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
0,chateau-batailley,Château Batailley,Pauillac (Grand Cru Classé),2013,4.1,Pauillac,pauillac,bordeaux
1,chateau-darche-fr,Château d'Arche,Haut-Médoc,2012,3.6,Haut-Médoc,haut-medoc,bordeaux
2,chateau-moulin-ventfr,Château Moulin à Vent,Moulis-en-Médoc,2012,3.6,Moulis-en-Médoc,moulis-en-medoc,bordeaux
3,xavier-vignon,Xavier Vignon,Gigondas,2009,3.9,Gigondas,gigondas,rhone
4,chateau-clos-l-eglise,Chateau Clos l'Eglise,Côtes de Castillon,2006,3.7,Castillon - Côtes de Bordeaux,cotes-de-castillon,bordeaux
5,roylland,Château Roylland,Saint-Émilion Grand Cru,2009,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
6,bouchard-pere-and-fils,Bouchard Père & Fils,Beaune 1er Cru 'Clos Saint-Landry' (Monopole) Blanc,2010,4.1,Beaune Premier Cru,beaune-premier-cru,cote-de-beaune
7,lascombes,Château Lascombes,Margaux (Grand Cru Classé),2005,4.4,Margaux,margaux,bordeaux
8,au-pied-du-mont-chauve,Au Pied du Mont Chauve,Corton Grand Cru 'Clos des Fietres',2011,4.2,Corton Grand Cru 'Les Fietres',corton-les-fietres,cote-de-beaune
9,chanson-pere-and-fils,Chanson,Charmes-Chambertin Grand Cru,2008,4.3,Charmes-Chambertin Grand Cru,charmes-chambertin,cote-de-nuits
10,chanson-pere-and-fils,Chanson,Gevrey-Chambertin,2011,3.9,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
11,chateau-marquis-de-terme,Château Marquis de Terme,Margaux (Grand Cru Classé),2012,4.0,Margaux,margaux,bordeaux
12,fr-chateau-canon-la-gaffeliere,Château Canon-La-Gaffelière,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2003,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
13,ramafort,Château Ramafort,Médoc,2000,3.7,Médoc,medoc,bordeaux
14,chaigne-et-fils,Chaigne et Fils,Louis Le Comte Bordeaux blanc,2018,3.8,Bordeaux,bordeaux,bordeaux
15,villa-symposia,Villa Symposia,l'Equilibre,2016,4.2,Languedoc-Roussillon,languedoc-roussillon,languedoc-roussillon
16,charles-heidsieck,Charles Heidsieck,Blanc des Millenaires Millésime Brut Champagne,2004,4.5,Champagne,champagne,champagne
17,haut-bages-monpelou,Château Haut-Bages Monpelou,Pauillac,2011,3.9,Pauillac,pauillac,bordeaux
18,palais-cardinal,Château Palais Cardinal,Saint-Emilion Grand Cru,2016,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
19,haut-bages-monpelou,Château Haut-Bages Monpelou,Pauillac,2012,4.1,Pauillac,pauillac,bordeaux
20,chateau-chantemerle-medoc,Château Chantemerle,Médoc,2015,3.5,Médoc,medoc,bordeaux
21,lucian-boillot-et-fils,Lucien Boillot & Fils,Gevrey-Chambertin,2016,3.9,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
22,louis-latour,Louis Latour,Gevrey-Chambertin 1er Cru Les Corbeaux,2006,4.4,Gevrey-Chambertin Premier Cru,gevrey-chambertin-premier-cru,cote-de-nuits
23,chateau-gruaud-larose,Château Gruaud Larose,Saint-Julien (Grand Cru Classé),2014,4.1,Saint-Julien,saint-julien,bordeaux
24,domaine-zind-humbrecht,Domaine Zind Humbrecht,Riesling Alsace Grand Cru Rangen De Thann Clos Saint Urbain,1998,4.2,Alsace Grand Cru,alsace-grand-cru,alsace
0,saint-pierre,Château Saint-Pierre,Saint-Julien (Grand Cru Classé),2006,3.9,Saint-Julien,saint-julien,bordeaux
1,bellisle-mondotte,Château Mondotte Bellisle,Cuvée Prestige Saint-Émilion Grand Cru,2005,3.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
2,meo-camuzet,Méo-Camuzet,Vosne-Romanée 1er Cru 'Les Chaumes',2014,4.3,Vosne-Romanée 1er Cru 'Les Chaumes',vosne-romanee-les-chaumes,cote-de-nuits
3,hugel,Hugel,Jubilee Riesling,2004,4.1,Alsace,alsace,alsace
4,pavillon-56541,Domaine du Pavillon,Corton-Charlemagne Grand Cru,2014,4.2,Corton-Charlemagne Grand Cru,corton-charlemagne,cote-de-beaune
5,trimbach-alsace,Trimbach,Pinot Gris Alsace Réserve Personnelle,2010,4.1,Alsace,alsace,alsace
6,ormes-de-pez,Château Ormes de Pez,Saint-Estèphe,2005,4.0,Saint-Estèphe,saint-estephe,bordeaux
7,domaine-de-baron-arques,Domaine de Baron'arques,Limoux,2013,3.8,Limoux,limoux,languedoc-roussillon
8,chateau-de-chantegrive,Château de Chantegrive,Graves,2013,3.7,Graves,graves,bordeaux
9,domaine-zind-humbrecht,Domaine Zind Humbrecht,Gewürztraminer Alsace Clos Windsbuhl,2006,4.3,Alsace,alsace,alsace
10,chateau-lafaurie-peyraguey,Château Lafaurie-Peyraguey,Sauternes (Premier Grand Cru Classé),2008,4.1,Sauternes,sauternes,bordeaux
11,henri-bourgeois,Henri Bourgeois,Pouilly-Fumé En Travertin,2013,3.9,Pouilly-Fumé,pouilly-fume,loire-valley
12,salon,Delamotte,Brut Champagne Grand Cru 'Le Mesnil-sur-Oger',N.V.,3.9,Champagne Grand Cru 'Le Mesnil-sur-Oger',champagne-grand-cru-le-mesnil-sur-oger,champagne
13,fr-chateau-poitevin,Château Poitevin,Médoc,2014,3.6,Médoc,medoc,bordeaux
14,chateau-haut-marbuzet,Château Haut-Marbuzet,Saint-Estèphe,1990,4.3,Saint-Estèphe,saint-estephe,bordeaux
15,chateau-malartic-lagraviere,Château Malartic-Lagravière,Pessac-Léognan (Grand Cru Classé de Graves),2008,4.1,Pessac-Léognan,pessac-leognan,bordeaux
16,chateau-fleur-cardinale,Château Fleur Cardinale,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
17,domaine-william-fevre,Domaine William Fèvre,Chablis Grand Cru Bougros,2012,4.2,Chablis Grand Cru 'Bougros',chablis-grand-cru-bougros,bourgogne
18,nicolas-pere-fils,Nicolas Pere & Fils,Côtes du Rhône Vieilles Vignes,2016,4.0,Côtes-du-Rhône,cotes-du-rhone,rhone
19,chateau-lafite-rothschild,Château Lafite Rothschild,Carruades de Lafite Pauillac,2008,4.3,Pauillac,pauillac,bordeaux
20,fr-chateau-latour-martillac,Château Latour-Martillac,Pessac-Léognan (Grand Cru Classé de Graves),1999,3.8,Pessac-Léognan,pessac-leognan,bordeaux
21,chateau-grand-puy-ducasse,Château Grand-Puy Ducasse,Le Cloitre de Grand-Puy Ducasse Pauillac,2010,4.0,Pauillac,pauillac,bordeaux
22,haut-madrac-126784,Château Haut-Madrac,Haut-Médoc,2014,3.9,Haut-Médoc,haut-medoc,bordeaux
23,sillons,Château Les Grands Sillons,Cuvée Amodis Pomerol,2014,4.0,Pomerol,pomerol,bordeaux
24,saint-ange-139365,Château Saint Ange,Saint-Émilion Grand Cru,2015,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
0,pontac-lynch,Château Pontac Lynch,Margaux,2013,4.1,Margaux,margaux,bordeaux
1,domaine-gangloff,Domaine Yves Gangloff,La Sereine Noire Côte-Rôtie,2016,4.6,Côte-Rôtie,cote-rotie,rhone
2,fargues,Château de Fargues,Sauternes (Lur Saluces),2007,4.5,Sauternes,sauternes,bordeaux
3,daugay,Château Daugay,Saint-Émilion Grand Cru,2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
4,chateau-rocher-gardat,Château Rocher Gardat,Montagne-Saint-Émilion,2016,3.9,Montagne-Saint-Émilion,montagne-saint-emilion,bordeaux
5,mouton-pere-et-fils,Domaine Mouton,Côte-Rôtie,2016,4.1,Côte-Rôtie,cote-rotie,rhone
6,roc-de-levraut,Château Roc de Levraut,Bordeaux Supérieur,2018,4.0,Bordeaux Supérieur,bordeaux-superieur,bordeaux
7,chateau-peyredon-lagravette,Château Peyredon Lagravette,Haut-Médoc Rouge,2014,3.7,Haut-Médoc,haut-medoc,bordeaux
8,chateau-simard,Château Simard,Saint-Émilion Grand Cru,2010,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
9,chateau-paloumey,Château Paloumey,Haut-Médoc,2014,3.7,Haut-Médoc,haut-medoc,bordeaux
10,chateau-des-annereaux,Château des Annereaux,Lalande-de-Pomerol,2016,4.0,Lalande-de-Pomerol,lalande-de-pomerol,bordeaux
11,domaine-de-marzilly,Domaine de Marzilly,Ullens Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
12,pierre-henri-morel,Pierre Henri Morel,Châteauneuf-du-Pape,2010,3.8,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
13,fr-abbatucci,Abbatucci,BR,2012,3.8,Corsica,corsica,
14,clos-marie,Clos Marie,Metairies du Clos Vieilles Vignes Pic Saint Loup,2013,3.8,Pic-Saint-Loup,pic-saint-loup,languedoc-roussillon
15,au-pied-du-mont-chauve,Au Pied du Mont Chauve,Saint-Aubin 1er Cru 'Pitangerets' Rouge,2013,3.8,Saint-Aubin 1er Cru 'Pitangeret',saint-aubin-pitangeret,cote-de-beaune
16,rene-bouvier,René Bouvier,Monopole Marsannay 'Le Clos',2014,3.8,Marsannay,marsannay,bourgogne
17,domaine-long-depaquit,Domaine Long Depaquit,Chablis Grand Cru 'Moutonne' (Monopole),2012,4.2,Chablis Grand Cru 'La Moutonne',chablis-grand-cru-la-moutonne,bourgogne
18,domaine-long-depaquit,Domaine Long Depaquit,Chablis Premier Cru 'Les Beugnons',2014,4.1,Chablis 1er Cru 'Beugnons',chablis-beugnons,bourgogne
19,louis-latour,Louis Latour,Meursault-Blagny Premier Cru Château de Blagny,2014,4.0,Meursault 1er Cru 'Blagny',meursault-1er-cru-blagny,cote-de-beaune
